d,s,noise,rep,seed,notears_edges,exact_edges,greedy_edges,false_positive_removals,true_positive_removals,candidate_max_indegree,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,5,normal,15,1062138,21,19,19,2,0,6,0.0,False,1.0
10,5,normal,16,1062139,16,13,13,3,0,4,0.0,False,1.0
10,5,normal,17,1062140,20,20,20,0,0,5,0.0,False,1.0
10,5,normal,18,1062141,20,18,18,2,0,6,0.0,False,1.0
10,5,normal,19,1062142,19,18,18,1,0,4,0.0,False,1.0
10,5,exponential,0,1062133,20,19,19,1,0,6,0.0,False,1.0
10,5,exponential,1,1062134,18,17,17,1,0,4,0.0,False,1.0
10,5,exponential,2,1062135,16,15,15,1,0,5,0.0,False,1.0
10,5,exponential,3,1062136,17,16,16,1,0,6,0.0,False,1.0
10,5,exponential,4,1062137,19,17,17,1,1,4,0.0,False,1.0
10,5,exponential,5,1062138,19,18,18,1,0,6,0.0,False,1.0
10,5,exponential,6,1062139,15,13,13,2,0,4,0.0,False,1.0
10,5,exponential,7,1062140,20,20,20,0,0,5,0.0,False,1.0
10,5,exponential,8,1062141,20,18,18,2,0,6,0.0,False,1.0
10,5,exponential,9,1062142,18,18,18,0,0,3,0.0,False,1.0
10,5,exponential,10,1062143,15,14,14,1,0,5,0.0,False,1.0
10,5,exponential,11,1062144,18,17,17,1,0,5,0.0,False,1.0
10,5,exponential,12,1062145,26,19,19,7,0,8,0.0,False,1.0
10,5,exponential,13,1062146,23,20,20,3,0,6,0.0,False,1.0
10,5,exponential,14,1062147,20,20,20,0,0,5,0.0,False,1.0
10,5,exponential,15,1062148,28,19,19,9,0,6,0.0,False,1.0
10,5,exponential,16,1062149,17,16,16,1,0,4,0.0,False,1.0
10,5,exponential,17,1062150,23,19,19,4,0,6,0.0,False,1.0
10,5,exponential,18,1062151,15,14,14,1,0,4,0.0,False,1.0
10,5,exponential,19,1062152,18,18,18,0,0,4,0.0,False,1.0
10,5,gumbel,0,1062143,16,15,15,1,0,5,0.0,False,1.0
10,5,gumbel,1,1062144,18,17,17,1,0,5,0.0,False,1.0
10,5,gumbel,2,1062145,26,19,19,7,0,8,0.0,False,1.0
10,5,gumbel,3,1062146,22,19,19,3,0,6,0.0,False,1.0
10,5,gumbel,4,1062147,20,20,20,0,0,5,0.0,False,1.0
10,5,gumbel,5,1062148,27,19,19,8,0,7,0.0,False,1.0
10,5,gumbel,6,1062149,17,16,16,1,0,3,0.0,False,1.0
10,5,gumbel,7,1062150,26,17,17,8,1,5,0.0,False,1.0
10,5,gumbel,8,1062151,18,16,16,2,0,4,0.0,False,1.0
10,5,gumbel,9,1062152,17,16,16,1,0,4,0.0,False,1.0
10,5,gumbel,10,1062153,26,21,21,5,0,6,0.0,False,1.0
10,5,gumbel,11,1062154,24,22,22,2,0,6,0.0,False,1.0
10,5,gumbel,12,1062155,21,19,19,2,0,5,0.0,False,1.0
10,5,gumbel,13,1062156,18,16,16,2,0,4,0.0,False,1.0
