d,s,noise,rep,seed,method,fdr,tpr,shd,tp,fp,fn,estimated_edges,greedy_bic_gap,greedy_suboptimal,exact_greedy_jaccard
10,5,normal,17,1062140,LOCAL_BIC_GREEDY,0.05,0.95,2,19,1,1,20,0.0,False,1.0
10,5,normal,17,1062140,STD_NOTEARS,0.8333333333333334,0.1,23,2,10,18,12,0.0,False,1.0
10,5,normal,17,1062140,STD_LOCAL_BIC_EXACT,0.8333333333333334,0.1,23,2,10,18,12,0.0,False,1.0
10,5,normal,18,1062141,NOTEARS,0.2,0.8,7,16,4,4,20,0.0,False,1.0
10,5,normal,18,1062141,LOCAL_BIC_EXACT,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,normal,18,1062141,LOCAL_BIC_GREEDY,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,normal,18,1062141,STD_NOTEARS,0.6666666666666666,0.15,19,3,6,17,9,0.0,False,1.0
10,5,normal,18,1062141,STD_LOCAL_BIC_EXACT,0.6666666666666666,0.15,19,3,6,17,9,0.0,False,1.0
10,5,normal,19,1062142,NOTEARS,0.15789473684210525,0.8,6,16,3,4,19,0.0,False,1.0
10,5,normal,19,1062142,LOCAL_BIC_EXACT,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,normal,19,1062142,LOCAL_BIC_GREEDY,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,normal,19,1062142,STD_NOTEARS,0.8181818181818182,0.1,24,2,9,18,11,0.0,False,1.0
10,5,normal,19,1062142,STD_LOCAL_BIC_EXACT,0.8181818181818182,0.1,24,2,9,18,11,0.0,False,1.0
10,5,exponential,0,1062133,NOTEARS,0.15,0.85,6,17,3,3,20,0.0,False,1.0
10,5,exponential,0,1062133,LOCAL_BIC_EXACT,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,exponential,0,1062133,LOCAL_BIC_GREEDY,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,exponential,0,1062133,STD_NOTEARS,0.5,0.25,18,5,5,15,10,0.0,False,1.0
10,5,exponential,0,1062133,STD_LOCAL_BIC_EXACT,0.5,0.25,18,5,5,15,10,0.0,False,1.0
10,5,exponential,1,1062134,NOTEARS,0.2222222222222222,0.7,10,14,4,6,18,0.0,False,1.0
10,5,exponential,1,1062134,LOCAL_BIC_EXACT,0.17647058823529413,0.7,9,14,3,6,17,0.0,False,1.0
10,5,exponential,1,1062134,LOCAL_BIC_GREEDY,0.17647058823529413,0.7,9,14,3,6,17,0.0,False,1.0
10,5,exponential,1,1062134,STD_NOTEARS,0.8,0.1,20,2,8,18,10,0.0,False,1.0
10,5,exponential,1,1062134,STD_LOCAL_BIC_EXACT,0.8,0.1,20,2,8,18,10,0.0,False,1.0
10,5,exponential,2,1062135,NOTEARS,0.0625,0.75,6,15,1,5,16,0.0,False,1.0
10,5,exponential,2,1062135,LOCAL_BIC_EXACT,0.0,0.75,5,15,0,5,15,0.0,False,1.0
10,5,exponential,2,1062135,LOCAL_BIC_GREEDY,0.0,0.75,5,15,0,5,15,0.0,False,1.0
10,5,exponential,2,1062135,STD_NOTEARS,0.5555555555555556,0.2,18,4,5,16,9,0.0,False,1.0
10,5,exponential,2,1062135,STD_LOCAL_BIC_EXACT,0.5555555555555556,0.2,18,4,5,16,9,0.0,False,1.0
10,5,exponential,3,1062136,NOTEARS,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,5,exponential,3,1062136,LOCAL_BIC_EXACT,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,exponential,3,1062136,LOCAL_BIC_GREEDY,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,exponential,3,1062136,STD_NOTEARS,0.5454545454545454,0.25,16,5,6,15,11,0.0,False,1.0
10,5,exponential,3,1062136,STD_LOCAL_BIC_EXACT,0.5454545454545454,0.25,16,5,6,15,11,0.0,False,1.0
10,5,exponential,4,1062137,NOTEARS,0.15789473684210525,0.8,7,16,3,4,19,0.0,False,1.0
10,5,exponential,4,1062137,LOCAL_BIC_EXACT,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,exponential,4,1062137,LOCAL_BIC_GREEDY,0.11764705882352941,0.75,7,15,2,5,17,0.0,False,1.0
10,5,exponential,4,1062137,STD_NOTEARS,0.6,0.2,18,4,6,16,10,0.0,False,1.0
10,5,exponential,4,1062137,STD_LOCAL_BIC_EXACT,0.6,0.2,18,4,6,16,10,0.0,False,1.0
10,5,exponential,5,1062138,NOTEARS,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,exponential,5,1062138,LOCAL_BIC_EXACT,0.05555555555555555,0.85,4,17,1,3,18,0.0,False,1.0
10,5,exponential,5,1062138,LOCAL_BIC_GREEDY,0.05555555555555555,0.85,4,17,1,3,18,0.0,False,1.0
10,5,exponential,5,1062138,STD_NOTEARS,0.8181818181818182,0.1,21,2,9,18,11,0.0,False,1.0
10,5,exponential,5,1062138,STD_LOCAL_BIC_EXACT,0.8181818181818182,0.1,21,2,9,18,11,0.0,False,1.0
10,5,exponential,6,1062139,NOTEARS,0.26666666666666666,0.55,12,11,4,9,15,0.0,False,1.0
10,5,exponential,6,1062139,LOCAL_BIC_EXACT,0.15384615384615385,0.55,10,11,2,9,13,0.0,False,1.0
10,5,exponential,6,1062139,LOCAL_BIC_GREEDY,0.15384615384615385,0.55,10,11,2,9,13,0.0,False,1.0
10,5,exponential,6,1062139,STD_NOTEARS,0.5555555555555556,0.2,19,4,5,16,9,0.0,False,1.0
10,5,exponential,6,1062139,STD_LOCAL_BIC_EXACT,0.5555555555555556,0.2,19,4,5,16,9,0.0,False,1.0
10,5,exponential,7,1062140,NOTEARS,0.05,0.95,2,19,1,1,20,0.0,False,1.0
10,5,exponential,7,1062140,LOCAL_BIC_EXACT,0.05,0.95,2,19,1,1,20,0.0,False,1.0
10,5,exponential,7,1062140,LOCAL_BIC_GREEDY,0.05,0.95,2,19,1,1,20,0.0,False,1.0
10,5,exponential,7,1062140,STD_NOTEARS,0.75,0.15,22,3,9,17,12,0.0,False,1.0
10,5,exponential,7,1062140,STD_LOCAL_BIC_EXACT,0.75,0.15,22,3,9,17,12,0.0,False,1.0
10,5,exponential,8,1062141,NOTEARS,0.15,0.85,5,17,3,3,20,0.0,False,1.0
10,5,exponential,8,1062141,LOCAL_BIC_EXACT,0.05555555555555555,0.85,3,17,1,3,18,0.0,False,1.0
10,5,exponential,8,1062141,LOCAL_BIC_GREEDY,0.05555555555555555,0.85,3,17,1,3,18,0.0,False,1.0
10,5,exponential,8,1062141,STD_NOTEARS,0.6666666666666666,0.15,19,3,6,17,9,0.0,False,1.0
10,5,exponential,8,1062141,STD_LOCAL_BIC_EXACT,0.6666666666666666,0.15,19,3,6,17,9,0.0,False,1.0
10,5,exponential,9,1062142,NOTEARS,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,exponential,9,1062142,LOCAL_BIC_EXACT,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,exponential,9,1062142,LOCAL_BIC_GREEDY,0.1111111111111111,0.8,5,16,2,4,18,0.0,False,1.0
10,5,exponential,9,1062142,STD_NOTEARS,0.8333333333333334,0.1,24,2,10,18,12,0.0,False,1.0
10,5,exponential,9,1062142,STD_LOCAL_BIC_EXACT,0.8333333333333334,0.1,24,2,10,18,12,0.0,False,1.0
10,5,exponential,10,1062143,NOTEARS,0.13333333333333333,0.65,9,13,2,7,15,0.0,False,1.0
10,5,exponential,10,1062143,LOCAL_BIC_EXACT,0.07142857142857142,0.65,8,13,1,7,14,0.0,False,1.0
10,5,exponential,10,1062143,LOCAL_BIC_GREEDY,0.07142857142857142,0.65,8,13,1,7,14,0.0,False,1.0
10,5,exponential,10,1062143,STD_NOTEARS,0.8,0.1,21,2,8,18,10,0.0,False,1.0
10,5,exponential,10,1062143,STD_LOCAL_BIC_EXACT,0.8,0.1,21,2,8,18,10,0.0,False,1.0
10,5,exponential,11,1062144,NOTEARS,0.05555555555555555,0.85,4,17,1,3,18,0.0,False,1.0
10,5,exponential,11,1062144,LOCAL_BIC_EXACT,0.0,0.85,3,17,0,3,17,0.0,False,1.0
10,5,exponential,11,1062144,LOCAL_BIC_GREEDY,0.0,0.85,3,17,0,3,17,0.0,False,1.0
10,5,exponential,11,1062144,STD_NOTEARS,0.9,0.05,22,1,9,19,10,0.0,False,1.0
10,5,exponential,11,1062144,STD_LOCAL_BIC_EXACT,0.9,0.05,22,1,9,19,10,0.0,False,1.0
10,5,exponential,12,1062145,NOTEARS,0.2692307692307692,0.95,8,19,7,1,26,0.0,False,1.0
10,5,exponential,12,1062145,LOCAL_BIC_EXACT,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,5,exponential,12,1062145,LOCAL_BIC_GREEDY,0.0,0.95,1,19,0,1,19,0.0,False,1.0
10,5,exponential,12,1062145,STD_NOTEARS,0.6666666666666666,0.15,18,3,6,17,9,0.0,False,1.0
10,5,exponential,12,1062145,STD_LOCAL_BIC_EXACT,0.6666666666666666,0.15,18,3,6,17,9,0.0,False,1.0
10,5,exponential,13,1062146,NOTEARS,0.2608695652173913,0.85,9,17,6,3,23,0.0,False,1.0
10,5,exponential,13,1062146,LOCAL_BIC_EXACT,0.15,0.85,6,17,3,3,20,0.0,False,1.0
10,5,exponential,13,1062146,LOCAL_BIC_GREEDY,0.15,0.85,6,17,3,3,20,0.0,False,1.0
10,5,exponential,13,1062146,STD_NOTEARS,0.5833333333333334,0.25,19,5,7,15,12,0.0,False,1.0
10,5,exponential,13,1062146,STD_LOCAL_BIC_EXACT,0.5833333333333334,0.25,19,5,7,15,12,0.0,False,1.0
10,5,exponential,14,1062147,NOTEARS,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,5,exponential,14,1062147,LOCAL_BIC_EXACT,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,5,exponential,14,1062147,LOCAL_BIC_GREEDY,0.0,1.0,0,20,0,0,20,0.0,False,1.0
10,5,exponential,14,1062147,STD_NOTEARS,0.75,0.15,19,3,9,17,12,0.0,False,1.0
10,5,exponential,14,1062147,STD_LOCAL_BIC_EXACT,0.75,0.15,19,3,9,17,12,0.0,False,1.0
10,5,exponential,15,1062148,NOTEARS,0.39285714285714285,0.85,14,17,11,3,28,0.0,False,1.0
10,5,exponential,15,1062148,LOCAL_BIC_EXACT,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,exponential,15,1062148,LOCAL_BIC_GREEDY,0.10526315789473684,0.85,5,17,2,3,19,0.0,False,1.0
10,5,exponential,15,1062148,STD_NOTEARS,1.0,0.0,21,0,8,20,8,0.0,False,1.0
10,5,exponential,15,1062148,STD_LOCAL_BIC_EXACT,1.0,0.0,21,0,8,20,8,0.0,False,1.0
10,5,exponential,16,1062149,NOTEARS,0.058823529411764705,0.8,5,16,1,4,17,0.0,False,1.0
10,5,exponential,16,1062149,LOCAL_BIC_EXACT,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,exponential,16,1062149,LOCAL_BIC_GREEDY,0.0,0.8,4,16,0,4,16,0.0,False,1.0
10,5,exponential,16,1062149,STD_NOTEARS,0.7,0.15,20,3,7,17,10,0.0,False,1.0
10,5,exponential,16,1062149,STD_LOCAL_BIC_EXACT,0.7,0.15,20,3,7,17,10,0.0,False,1.0
10,5,exponential,17,1062150,NOTEARS,0.34782608695652173,0.75,13,15,8,5,23,0.0,False,1.0
10,5,exponential,17,1062150,LOCAL_BIC_EXACT,0.21052631578947367,0.75,9,15,4,5,19,0.0,False,1.0
10,5,exponential,17,1062150,LOCAL_BIC_GREEDY,0.21052631578947367,0.75,9,15,4,5,19,0.0,False,1.0
10,5,exponential,17,1062150,STD_NOTEARS,0.75,0.1,20,2,6,18,8,0.0,False,1.0
10,5,exponential,17,1062150,STD_LOCAL_BIC_EXACT,0.75,0.1,20,2,6,18,8,0.0,False,1.0
10,5,exponential,18,1062151,NOTEARS,0.06666666666666667,0.7,7,14,1,6,15,0.0,False,1.0
10,5,exponential,18,1062151,LOCAL_BIC_EXACT,0.0,0.7,6,14,0,6,14,0.0,False,1.0
10,5,exponential,18,1062151,LOCAL_BIC_GREEDY,0.0,0.7,6,14,0,6,14,0.0,False,1.0
10,5,exponential,18,1062151,STD_NOTEARS,0.4444444444444444,0.25,16,5,4,15,9,0.0,False,1.0
10,5,exponential,18,1062151,STD_LOCAL_BIC_EXACT,0.4444444444444444,0.25,16,5,4,15,9,0.0,False,1.0
10,5,exponential,19,1062152,NOTEARS,0.1111111111111111,0.8,6,16,2,4,18,0.0,False,1.0
10,5,exponential,19,1062152,LOCAL_BIC_EXACT,0.1111111111111111,0.8,6,16,2,4,18,0.0,False,1.0
