abs_r,r,var1,var2
0.2831770154182072,-0.2831770154182072,nonproductive_days,Last_week_wean_bred_rate
0.27739600408977794,-0.27739600408977794,Stillborn_avg,Born_alive_avg
0.27207801156919326,0.27207801156919326,Born_alive_avg,Gestation_days
0.26570662835510456,0.26570662835510456,number_services,HeadIn
0.26413044077957826,0.26413044077957826,abortions_rate,Sow_Death_rate
0.2618553752754123,-0.2618553752754123,Mummies_avg,productive_days_rate
0.26183353283787764,0.26183353283787764,nonproductive_days,Mummies_avg
0.259183658617253,0.259183658617253,Total_born_avg,Farrowing__rate
0.25761182631052904,-0.25761182631052904,Farrowing__rate,mortality_60days
0.25653358361755046,0.25653358361755046,prenatal_losses_avg,mortality_60days
0.24592781334318792,0.24592781334318792,Mummies_avg,mortality_60days
0.24492223632426138,-0.24492223632426138,Lactation_days,Farrowing__rate
0.24462764149184965,0.24462764149184965,Total_born_avg,productive_days_rate
0.2445559219044864,-0.2445559219044864,nonproductive_days,Total_born_avg
0.24141028024091957,-0.24141028024091957,nonproductive_days,pregnant_105days_rate
0.24138753263766524,0.24138753263766524,productive_days_rate,pregnant_105days_rate
0.24099425352925233,-0.24099425352925233,number_services,gilts_bred_rate
0.23833683079841445,0.23833683079841445,Born_alive_avg,pregnant_105days_rate
0.23500812492404385,0.23500812492404385,wean_to_service,Mummies_avg
0.23185279637040954,0.23185279637040954,prenatal_losses_avg,repeats__rate
0.22810039421370112,-0.22810039421370112,Mummies_avg,pregnant_105days_rate
0.2249565639483968,0.2249565639483968,Last_week_wean_bred_rate,avg_parity_at_farrow
0.21929617819890232,-0.21929617819890232,prenatal_losses_avg,Farrowing__rate
0.21474234729801306,-0.21474234729801306,wean_to_service,Born_alive_avg
0.21455790759439167,-0.21455790759439167,pregnant_105days_rate,mortality_60days
0.21408602163918036,0.21408602163918036,Mummies_avg,Lactation_days
0.20815125714847077,-0.20815125714847077,abortions_rate,Born_alive_avg
0.2045801343012009,0.2045801343012009,mated_inventory_20wks,Total_born_avg
0.20375240079200294,-0.20375240079200294,Mummies_avg,Last_week_wean_bred_rate
0.20266427133642087,-0.20266427133642087,wean_to_service,pregnant_105days_rate
0.20053087030250885,0.20053087030250885,Total_born_avg,final_inventory
0.193981171746534,0.193981171746534,number_services,Total_born_avg
0.19298278624697657,0.19298278624697657,Last_week_wean_bred_rate,Farrowing__rate
0.19119481346754558,-0.19119481346754558,abortions_rate,Farrowing__rate
0.19003564066466638,0.19003564066466638,Interval_farrows,Lactation_days
0.18849109107870585,-0.18849109107870585,PWSow,repeats__rate
0.18642044171859254,0.18642044171859254,wean_to_service,Lactation_days
0.18321562059434754,0.18321562059434754,Born_alive_avg,PWSow
0.18205281091449088,-0.18205281091449088,productive_days_rate,gilts_bred_rate
0.18203418715496866,0.18203418715496866,nonproductive_days,gilts_bred_rate
0.18118822602507195,0.18118822602507195,Avg_parity_farrow,Stillborn_avg
0.180538688431947,0.180538688431947,number_services,services_per_inventory_N_rate
